"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN","Description"
"BT1","Keystone_3034","datasheets/Keystone_3034.pdf","000_LOCAL:Keystone_3028_3034","1","","Keystone 3034","SMT 20mm x 3.2mm coin cell holder"
"C1","220u10v","datasheets/TAJ.odf","000_LOCAL:CP_6032","1","","TAJC227K010RNJ","CAP TANT 220UF 10% 10V 2312"
"C2,C3,C4,C5","1u","datasheets/CL21B105KAFNNNE.pdf","000_LOCAL:C_0805","4","","CL21B105KAFNNNE","CAP CER 1UF 25V X7R 0805"
"D1,D2","BAS70-05","datasheets/BAS70-00_to_BAS70-06.pdf","000_LOCAL:SOT-23","2","","BAS70-05-E3-08","DIODE ARR SCHOTT 70V 200MA SOT23"
"J1","Conn_02x20_Odd_Even","datasheets/2x20_male_boxed.pdf","000_LOCAL:IDC-Header_2x20_P2.54mm_Vertical","1","","302-S401","CONN HEADER VERT 40POS 2.54MM"
"R1","1k","datasheets/RK73.pdf","000_LOCAL:R_0805","1","","RK73B2ATTD102J","RES 1K OHM 5% 1/4W 0805"
"R2,R3","47k","datasheets/sei-rmcf_rmcp.pdf","000_LOCAL:R_0805","2","","RMCF0805FT47K0","RES 47K OHM 1% 1/8W 0805"
"U1","HC138","datasheets/74xx138.pdf","000_LOCAL:SOIC-16_3.9x9.9mm_P1.27mm","1","","74AHC138D,118","IC DECODER/DEMUX 1 X 3:8 16SO"
"U2","HC4040","datasheets/4040.pdf","000_LOCAL:SOIC-16_3.9x9.9mm_P1.27mm","1","","IC BINARY COUNTER 12-BIT 16SO","74HC4040D,653"
"U3","FCT821","datasheets/CY74FCT821T.pdf","000_LOCAL:SOIC-24","1","","CY74FCT821BTSOC","IC FF D-TYPE SNGL 10BIT 24SOIC"
"U4","AS6C4008","datasheets/AS6C4008.pdf","000_LOCAL:TSOP-II-SOP-32_dual","1","","AS6C4008-55ZIN","IC SRAM 512Kx8 PARALLEL 5v TSOP-II-32"
"U5","2G04","datasheets/2G04.pdf","000_LOCAL:TSOP-6_1.65x3.05mm_P0.95mm","1","","74HC2G04GW,125","IC INVERTER 2CH 2-INP 6TSSOP"
"U6","1G32","datasheets/74xx1G32.pdf","000_LOCAL:SOT-23-5","1","","SN74AHC1G32DBVR","IC GATE OR 1CH 2-INP SOT23-5"
