"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN","Description"
"BT1","Keystone_3034","datasheets/Keystone_3034.pdf","000_LOCAL:Keystone_3028_3034","1","","Keystone 3034","SMT 20mm x 3.2mm coin cell holder"
"C1,C2,C3,C4","4.7u","datasheets/CL31B475KAHNNNE.pdf","000_LOCAL:C_1206","4","","CL31B475KAHNNNE","CAP CER 4.7UF 25V X7R 1206"
"D1,D2","LL4148","datasheets/ll4148.pdf","000_LOCAL:D_MiniMELF","2","","FDLL4148","50V 1A General Purpose Rectifier Diode"
"J1","Conn_02x20_Odd_Even","datasheets/2x20_male_boxed.pdf","000_LOCAL:IDC-Header_2x20_P2.54mm_Vertical","1","","302-S401","CONN HEADER VERT 40POS 2.54MM"
"R1,R2","47k","datasheets/TE-4-2176343-5.pdf","000_LOCAL:R_1206","2","","CRGCQ1206F47K","RES 47K OHM 1% 1/4W 1206"
"U1","HC238","datasheets/HC238.pdf","000_LOCAL:SOIC-16_3.9x9.9mm_P1.27mm","1","","74HCT238D,653","IC DECODER/DEMUX 1 X 3:8 16SO"
"U2","HC4040","datasheets/4040.pdf","000_LOCAL:SOIC-16_3.9x9.9mm_P1.27mm","1","","74HC4040D,653","IC BINARY COUNTER 12-BIT 16SO"
"U3","FCT841","datasheets/FCT841.pdf","000_LOCAL:SOIC-24","1","","CY74FCT841CTSOC","IC 10BIT LATCH 3-STATE 24-SOIC"
"U4","AS6C4008","datasheets/AS6C4008.pdf","000_LOCAL:TSOP-II-SOP-32_dual","1","","AS6C4008-55ZIN","IC SRAM 512Kx8 PARALLEL 5v TSOP-II-32"
"U5","2G00","datasheets/2G00.pdf","000_LOCAL:TSSOP-8_3x3mm_P0.65mm","1","","74LVC2G00DP,125","IC GATE NAND 2CH 2-INP 8TSSOP"
