"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN","Description"
"BT1","Keystone_3028","datasheets/Keystone_3034.pdf","000_LOCAL:Keystone_3028_3034_bkw","1","","Keystone_3028","BATTERY RETAINER COIN 20MM x 1.6MM SMT"
"C2,C3,C4,C5,C6","1u","datasheets/CL21B105KAFNNNE.pdf","000_LOCAL:C_0805","5","","CL21B105KAFNNNE","CAP CER 1UF 25V X7R 0805"
"DA1","BAV70","datasheets/BAV70.pdf","000_LOCAL:SOT-23","1","","BAV70-7-F","DIODE ARRAY GP 75V 150MA SOT23-3"
"J1","Conn_02x20_Odd_Even","datasheets/2x20_male_boxed.pdf","000_LOCAL:IDC-Header_2x20_P2.54mm_Vertical","1","","302-S401","CONN HEADER VERT 40POS 2.54MM"
"R2","47k","datasheets/sei-rmcf_rmcp.pdf","000_LOCAL:R_0805","1","","RMCF0805FT47K0","RES 47K OHM 1% 1/8W 0805"
"U1","HC238","datasheets/HC238.pdf","000_LOCAL:TSSOP-16","1","","74HC238PW,118","IC DECODER/DEMUX 1 X 3:8 16SO"
"U2","HC4040","datasheets/4040.pdf","000_LOCAL:TSSOP-16","1","","74HC4040PW,118","IC BINARY COUNTER 12-BIT 16SO"
"U3","HC573","datasheets/HC573.pdf","000_LOCAL:TSSOP-20","1","","74HC573PW,118","8-bit Latch 3-state outputs"
"U4","AS6C4008","datasheets/AS6C4008.pdf","000_LOCAL:TSOP32-dual","1","","AS6C4008-55STIN","IC SRAM 512Kx8 PARALLEL STSOP-32"
"U5","1G79","datasheets/LVC1G79.pdf","000_LOCAL:SOT-353_SC-70-5","1","","74LVC1G79GW,125","IC FF D-TYPE SNGL 1BIT 5TSSOP"
"U6","2G00","datasheets/2G00.pdf","000_LOCAL:TSSOP-8_3x3mm_P0.65mm","1","","","Dual NAND Gate, Low-Voltage CMOS"
