"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN","Description"
"BT1","Keystone_3031","datasheet/Keystone_3031.pdf","000_LOCAL:Keystone_3031","1","","Keystone 3031","Battery Retainer Coin, 10.0mm 1 Cell PC Pin"
"C1,C2,C3","1u","datasheets/CL21B105KAFNNNE.pdf","000_LOCAL:C_0805","3","","CL21B105KAFNNNE","CAP CER 1UF 25V X7R 0805"
"C4","47u","datasheets/TDK_MLCC_Cxxxx.pdf","000_LOCAL:C_1206","1","","C3216X5R1E476M160DC","CAP CER 47UF 25V X5R 1206"
"DA1","BAV70","datasheets/BAV70.pdf","000_LOCAL:SOT-23","1","","BAV70-7-F","DIODE ARRAY GP 75V 150MA SOT23-3"
"J1","Model_100_System_BUS","datasheets/TRS-80_Model_100_User_Guide.pdf","000_LOCAL:DIP-40_PCB","1","","920-0172-01","CONN HEADER VERT 40P 2.54MM"
"R1","47k","datasheets/sei-rmcf_rmcp.pdf","000_LOCAL:R_0805","1","","RMCF0805FT47K0","RES 47K OHM 1% 1/8W 0805"
"U1","AS6C8008_TSOPII","datasheets/AS6C8008.pdf","000_LOCAL:TSOP-II-44","1","","AS6C8008-55ZIN","IC SRAM 1Mx8 PARALLEL 5v TSOP-II-44"
"U2","HC238","datasheets/HC238.pdf","000_LOCAL:TSSOP-16","1","","74HC238PW,118","IC DECODER/DEMUX 1 X 3:8 16SO"
"U3","HC4040","datasheets/4040.pdf","000_LOCAL:TSSOP-16","1","","74HC4040PW,118","IC BINARY COUNTER 12-BIT 16SO"
"U4","ABT841","datasheets/sn54abt841.pdf","000_LOCAL:TSSOP-24_4.4x7.8mm_P0.65mm","1","","SN74ABT841APW","IC 10BIT LATCH 3-STATE 24-SOIC"
